               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,           0.0085792,             0.02944,           0.0013158,             0.96167,              0.9684,             0.98803,             0.90987,           0.0085082,            0.025745,           0.0063122,            0.002872,            0.002872,            0.002872
                  74,           0.0084711,            0.029016,           0.0012951,             0.96259,             0.96764,             0.98582,             0.92101,           0.0085147,            0.026041,           0.0071754,            0.002773,            0.002773,            0.002773
                  75,           0.0083624,               0.029,           0.0012708,              0.9713,             0.97089,             0.99051,             0.92381,           0.0080311,            0.023933,           0.0057889,            0.002674,            0.002674,            0.002674
                  76,           0.0083409,            0.028946,           0.0012584,             0.96101,             0.96891,             0.99094,             0.91779,           0.0081693,            0.025454,           0.0064925,            0.002575,            0.002575,            0.002575
                  77,           0.0080955,            0.027842,           0.0012584,             0.96553,             0.96867,              0.9905,               0.921,           0.0083717,            0.026159,           0.0064144,            0.002476,            0.002476,            0.002476
                  78,           0.0079469,            0.027364,             0.00119,             0.96069,             0.97009,             0.98908,             0.91713,            0.008391,            0.027449,           0.0062241,            0.002377,            0.002377,            0.002377
                  79,           0.0078163,            0.027178,            0.001223,             0.96593,             0.97334,             0.98885,             0.91587,           0.0080306,            0.024759,           0.0062578,            0.002278,            0.002278,            0.002278
                  80,           0.0077233,            0.026981,           0.0011915,             0.97713,             0.97192,             0.99027,             0.92303,           0.0079117,            0.024521,           0.0058362,            0.002179,            0.002179,            0.002179
                  81,           0.0076192,            0.026494,           0.0011614,             0.97249,             0.97374,             0.99053,             0.92364,           0.0081398,            0.024763,           0.0058378,             0.00208,             0.00208,             0.00208
                  82,            0.007571,            0.026371,           0.0011798,             0.96293,             0.97237,             0.98653,             0.91765,           0.0081797,            0.025948,           0.0061757,            0.001981,            0.001981,            0.001981
                  83,           0.0075335,            0.026397,           0.0011228,             0.96193,              0.9736,             0.98668,             0.91288,           0.0082779,            0.026304,           0.0065419,            0.001882,            0.001882,            0.001882
                  84,           0.0074385,            0.026067,           0.0011132,             0.94494,             0.96695,             0.98474,             0.90763,           0.0083337,             0.02652,           0.0074621,            0.001783,            0.001783,            0.001783
                  85,            0.007168,            0.025362,           0.0011017,             0.95235,             0.97142,             0.98785,             0.91836,           0.0083832,            0.027607,           0.0069201,            0.001684,            0.001684,            0.001684
                  86,           0.0070696,            0.024789,           0.0011016,             0.96065,               0.973,             0.98618,             0.91597,           0.0081215,             0.02589,           0.0069454,            0.001585,            0.001585,            0.001585
                  87,           0.0070273,            0.025038,           0.0010817,             0.94961,             0.97009,             0.98615,             0.91924,           0.0082177,            0.027409,            0.006862,            0.001486,            0.001486,            0.001486
                  88,           0.0069139,            0.024635,           0.0010603,             0.95971,             0.97581,             0.98666,             0.91611,           0.0083087,            0.027235,            0.006601,            0.001387,            0.001387,            0.001387
                  89,           0.0068053,            0.024107,           0.0010326,             0.95483,             0.97642,             0.98537,              0.9167,           0.0083079,            0.027433,           0.0064187,            0.001288,            0.001288,            0.001288
                  90,           0.0066759,            0.024003,           0.0010277,             0.95673,             0.97761,             0.98667,             0.91952,           0.0082047,            0.027403,           0.0061056,            0.001189,            0.001189,            0.001189
                  91,           0.0065761,            0.023623,          0.00099236,             0.95482,             0.97458,             0.98502,             0.92097,           0.0081971,            0.027725,           0.0066023,             0.00109,             0.00109,             0.00109
                  92,           0.0064532,            0.023006,          0.00096706,             0.95619,             0.97336,             0.98446,             0.91448,           0.0082818,            0.027958,            0.006658,            0.000991,            0.000991,            0.000991
                  93,           0.0064208,            0.023026,           0.0009838,             0.95096,             0.97368,             0.98457,             0.91446,           0.0081652,            0.028021,           0.0071156,            0.000892,            0.000892,            0.000892
                  94,           0.0064033,            0.023291,          0.00097291,             0.95182,             0.97571,             0.98394,             0.91251,           0.0082113,            0.027431,           0.0074247,            0.000793,            0.000793,            0.000793
                  95,           0.0061738,            0.022451,          0.00093667,             0.95285,              0.9755,             0.98596,              0.9126,           0.0082647,             0.02829,           0.0065332,            0.000694,            0.000694,            0.000694
                  96,           0.0061371,            0.022294,          0.00092557,             0.95566,             0.97496,             0.98455,             0.91055,           0.0082551,            0.027916,           0.0073316,            0.000595,            0.000595,            0.000595
                  97,           0.0060553,            0.021996,          0.00090885,             0.96205,             0.97566,              0.9865,              0.9214,           0.0080956,            0.027864,           0.0071477,            0.000496,            0.000496,            0.000496
                  98,           0.0060218,            0.021875,          0.00089685,             0.96155,             0.97646,             0.98683,             0.91838,           0.0081163,            0.028109,           0.0068159,            0.000397,            0.000397,            0.000397
                  99,           0.0059769,            0.021434,          0.00088887,             0.96132,             0.97596,             0.98673,             0.91481,           0.0081984,            0.029387,           0.0068186,            0.000298,            0.000298,            0.000298
